incident_type,details,county,month,year
Poisoning,Species targeted: Birds of prey. Species involved: Poison bait (pheasant) x 1. Tested positive for: Bendiocarb.,POWYS,October,2012
Shooting,Species involved: Buzzard x 1.,MERSEYSIDE,October,2012
Shooting,Species involved: Short-eared owl x 1.,HIGHLAND,January,2012
Shooting,Species involved: Peregrine falcon x 1.,CORNWALL,August,2012
Illegal Trapping (Other),Species involved: Goshawk x 1.,ABERDEENSHIRE,August,2012
Poisoning,Species involved: Red kite x 1. Tested positive for: Bendiocarb.,POWYS,October,2012
Poisoning,Species involved: Red kite x 1. Tested positive for: Alphachloralose.,NORTH YORKSHIRE,November,2012
Poisoning,Species involved: Buzzard x 1; poison bait (pheasant) x 1). Tested positive for: Carbofuran.,CUMBRIA,September,2012
PersecutionOther,Species targeted: Birds of prey.,CUMBRIA,August,2012
PersecutionOther,Species involved: Golden Eagle x 1.,HIGHLAND,January,2012
Shooting,Species involved: Sparrowhawk x 1.,DERBYSHIRE,March,2012
Shooting,Species involved: Peregrine falcon x 1.,DORSET,November,2012
Poisoning,Species involved: Red kite x 1. Tested positive for: Carbofuran.,NORTH YORKSHIRE,October,2012
Poisoning,"Species targeted: Birds of prey. Species involved: Raven x 2, poison bait (meat) x 1. Tested positive for: Bendiocarb.",SCOTTISH BORDERS,May,2012
Illegal Trapping (Other),Species targeted: Birds of prey.,ABERDEENSHIRE,September,2012
Nest Destruction,Species involved: Goshawk nest.,SOUTH LANARKSHIRE,June,2012
Illegal Pole/Spring Trapping,Species involved: Golden eagle x 1.,ANGUS,April,2012
Poisoning,Species involved: Peregrine falcon x 1. Tested positive for: Bendiocarb.,CONWY,June,2012
Poisoning,Species targeted: Birds of prey. Species involved: Poison bait (pheasant) x 1. Tested positive for: Bendiocarb.,POWYS,October,2012
Illegal Trapping (Other),Species involved: Buzzard x 1.,NORTH YORKSHIRE,August,2012
Illegal Trapping (Other),Species involved: Buzzard x 5.,CUMBRIA,November,2012
Shooting,Species involved: Marsh harrier x 1.,WEST YORKSHIRE,October,2012
Poisoning,"Species involved: Red kite x 1; poison bait (rabbit) x 1. Tested positive for: Bendiocarb, carbofuran, isofenphos.",NORTH YORKSHIRE,May,2012
Shooting,Species involved: Barn owl x 1.,SUFFOLK,March,2012
Shooting,Species involved: Peregrine falcon x 1.,CORNWALL,October,2012
Poisoning,"Species involved: Buzzard x 1, poison bait (pheasant) x 1. Tested positive for: Carbofuran.",DUMFRIES AND GALLOWAY,December,2012
Illegal Trapping (Other),Species targeted: Birds of prey.,PERTH AND KINROSS,November,2012
Illegal Trapping (Other),Species involved: Buzzard x 1.,ABERDEENSHIRE,August,2012
Shooting,Species involved: Buzzard x 1.,LEICESTERSHIRE,March,2012
PersecutionOther,Species targeted: Birds of prey. Possession of: Carbofuran.,PERTH AND KINROSS,February,2012
Shooting,Species involved: Buzzard x 1.,NORTH YORKSHIRE,December,2012
Illegal Pole/Spring Trapping,Species targeted: Birds of prey.,ABERDEENSHIRE,July,2012
Poisoning,Species targeted: Birds of prey. Species involved: Dog x 1; poison bait (other) x 1. Tested positive for: Metaldehyde.,GWYNEDD,September,2012
Illegal Trapping (Other),Species involved: Sparrowhawk x 1.,NORFOLK,March,2012
Nest Destruction,Species involved: Goshawk x 4 (nest).,DERBYSHIRE,May,2012
PersecutionOther,Species targeted: Birds of prey. Possession of: Fenthion.,SOMERSET & AVON,February,2012
Shooting,Species involved: Sparrowhawk x 1.,NORTH YORKSHIRE,May,2012
Poisoning,Species targeted: Birds of prey. Species involved: Poison bait (duck) x 1. Tested positive for: Carbofuran.,CUMBRIA,September,2012
Shooting,Species involved: Sparrowhawk x 1.,BEDFORDSHIRE,February,2012
Illegal Trapping (Other),Species involved: Buzzard x 1.,DOWN,May,2012
Shooting,Species involved: Buzzard x 1.,NOTTINGHAMSHIRE,November,2012
Illegal Trapping (Other),Species targeted: Goshawk.,NORTH YORKSHIRE,September,2012
Shooting,Species involved: Sparrowhawk x 1.,BEDFORDSHIRE,February,2012
Shooting,Species involved: Buzzard x 1.,LINCOLNSHIRE,February,2012
Poisoning,Species targeted: Birds of prey. Species involved: Poison bait (pheasant) x 2. Tested positive for: Bendiocarb.,POWYS,October,2012
PersecutionOther,Species targeted: Birds of prey. Possession of: Carbofuran.,TYNE AND WEAR,February,2012
Shooting,Species involved: Buzzard x 1.,MERSEYSIDE,February,2012
Poisoning,Species involved: Buzzard x 2. Tested positive for: Alphachloralose.,HAMPSHIRE,September,2012
Shooting,Species involved: Buzzard x 1.,NORFOLK,October,2012
Shooting,Species involved: Buzzard x 1.,EAST SUSSEX,March,2012
Shooting,Species involved: Golden eagle x 1.,ARGYLL AND BUTE,June,2012
PersecutionOther,Species involved: Barn owl x 6.,MERSEYSIDE,February,2012
Shooting,Species involved: Sparrowhawk x 1.,BEDFORDSHIRE,February,2012
Illegal Trapping (Other),Species targeted: Birds of prey.,ABERDEENSHIRE,September,2012
Shooting,Species involved: Buzzard x 1.,LANCASHIRE,November,2012
Illegal Pole/Spring Trapping,Species involved: Peregrine falcon x 1.,HIGHLAND,September,2012
Poisoning,Species involved: Buzzard x 1. Tested positive for: Aldicarb.,EAST RIDING OF YORKSHIRE,November,2012
Shooting,Species involved: Buzzard x 1.,WEST SUSSEX,July,2012
Illegal Trapping (Other),Species involved: Buzzard x 3.,ANGUS,March,2011
Shooting,Species targeted: Birds of prey.,FIFE,April,2011
Shooting,Species involved: Buzzard x 1.,SOUTH YORKSHIRE,March,2011
Poisoning,Species involved: Peregrine falcon x 2. Tested positive for: Carbofuran.,CORNWALL,July,2011
Poisoning,Species involved: Buzzard x 1. Tested positive for: Alphachloralose.,HAMPSHIRE,April,2011
PersecutionOther,Species targeted: Birds of prey. Possession of: Carbofuran.,SOUTH LANARKSHIRE,January,2011
Shooting,Species involved: Buzzard x 1.,BERKSHIRE,March,2011
Shooting,Species targeted: Kestrel.,HIGHLAND,June,2011
Poisoning,Species involved: Peregrine falcon x 1; poison bait (pigeon) x 1. Tested positive for: Aldicarb.,LINCOLNSHIRE,September,2011
Shooting,Species involved: Buzzard x 1.,NORFOLK,March,2011
Poisoning,Species involved: Red kite x 1. Tested positive for: Fenthion.,PEMBROKESHIRE,March,2011
Shooting,Species involved: Peregrine falcon x 1.,LINCOLNSHIRE,February,2011
Shooting,Species involved: Barn owl x 1.,CAMBRIDGESHIRE,November,2011
Shooting,Species involved: Buzzard x 1.,ISLE OF WIGHT,November,2011
Poisoning,Species involved: Red kite x 2. Tested positive for: Fenthion.,CARMARTHENSHIRE,June,2011
Shooting,Species involved: Short-eared owl x 1.,ABERDEENSHIRE,May,2011
Poisoning,"Species involved: Red kite x 1. Tested positive for: Bendiocarb, carbofuran.",HIGHLAND,May,2011
Poisoning,Species involved: Buzzard x 2; poison bait (pheasant) x 1. Tested positive for: Carbofuran.,LINCOLNSHIRE,September,2011
Shooting,Species involved: Goshawk x 2.,MIDLOTHIAN,July,2011
Poisoning,Species involved: Peregrine falcon x 1. Tested positive for: Strychnine.,NORTH LANARKSHIRE,February,2011
Shooting,Species involved: Barn owl x 1.,COUNTY DURHAM,November,2011
Shooting,Species involved: Marsh harrier x 1.,COUNTY DURHAM,August,2011
Illegal Trapping (Other),Species involved: Peregrine falcon x 1.,TORFAEN,June,2011
Shooting,Species involved: Barn owl x 1.,SUFFOLK,November,2011
Poisoning,Species involved: Peregrine falcon x 1. Tested positive for: Strychnine.,NORTH LANARKSHIRE,February,2011
Poisoning,Species involved: Peregrine falcon x 1. Tested positive for: Diazinon.,SHROPSHIRE,April,2011
Shooting,Species involved: Short-eared owl x 1.,ESSEX,October,2011
Illegal Trapping (Other),Species involved: Kestrel x 1.,ANGUS,June,2011
Poisoning,Species targeted: Birds of prey. Species involved: Magpie x 1. Tested positive for: Alphachloralose.,ARMAGH,August,2011
Poisoning,Species targeted: Birds of prey. Species involved: Dog x 3. Tested positive for: Strychnine.,NORTH YORKSHIRE,May,2011
Poisoning,Species involved: Buzzard x 1. Tested positive for: Bendiocarb.,MONMOUTHSHIRE,March,2011
Poisoning,Species involved: Red kite x 1. Tested positive for: Alphachloralose.,NORTH YORKSHIRE,December,2011
Poisoning,Species involved: Red kite x 1. Tested positive for: Bendiocarb.,GLOUCESTERSHIRE,May,2011
Illegal Trapping (Other),Species involved: Sparrowhawk x 1.,PERTH AND KINROSS,February,2011
Shooting,Species involved: Tawny owl x 1.,CUMBRIA,April,2011
Shooting,Species involved: Sparrowhawk x 1.,WARWICKSHIRE,March,2011
Nest Destruction,Species involved: Barn owl nest.,GWYNEDD,May,2011
Shooting,Species involved: Buzzard x 1.,ISLE OF ANGLESEY,May,2011
Poisoning,"Species involved: Red kite x 1. Tested positive for: Carbofuran, methiocarb.",SOMERSET & AVON,March,2011
Shooting,Species involved: Buzzard x 1.,HAMPSHIRE,March,2011
PersecutionOther,Species targeted: Birds of prey. Possession of: Carbofuran.,NORTH YORKSHIRE,March,2011
Poisoning,Species involved: Red kite x 1. Tested positive for: Carbofuran.,DUMFRIES AND GALLOWAY,July,2011
Poisoning,Species involved: Red kite x 1; magpie x 1; rook x 1. Tested positive for: Bendiocarb.,BUCKINGHAMSHIRE,November,2011
Shooting,Species involved: Buzzard x 1.,SURREY,August,2011
PersecutionOther,Species targeted: Birds of prey. Possession of: Alphachloralose.,LONDONDERRY,June,2011
Shooting,Species involved: Red kite x 1.,CUMBRIA,April,2011
Poisoning,Species targeted: Birds of prey. Species involved: Raven x 1. Tested positive for: Bendiocarb.,SCOTTISH BORDERS,September,2011
Shooting,Species involved: Peregrine falcon x 1.,CORNWALL,August,2011
Poisoning,Species targeted: Peregrine falcon. Species involved: Poison bait (pigeon) x 1. Tested positive for: Carbofuran.,TYRONE,April,2011
Illegal Pole/Spring Trapping,Species involved: Tawny owl x 1.,NORFOLK,May,2011
Shooting,Species involved: Buzzard x 1.,ANGUS,April,2011
PersecutionOther,Species targeted: Birds of prey. Possession of: Carbofuran.,LINCOLNSHIRE,October,2011
Shooting,Species involved: Buzzard x 1.,HERTFORDSHIRE,May,2011
Poisoning,Species involved: Buzzard x 2; Sparrowhawk x 2. Tested positive for: Carbofuran.,MIDLOTHIAN,September,2011
PersecutionOther,Species involved: Owl species x 1.,LANCASHIRE,March,2011
Shooting,Species involved: Peregrine falcon x 1.,ABERDEENSHIRE,April,2011
Poisoning,Species involved: Buzzard x 1. Tested positive for: Carbofuran.,SCOTTISH BORDERS,January,2011
Poisoning,"Species involved: Peregrine falcon x 1. Tested positive for: Aldicarb, carbofuran.",DEVON,July,2011
Poisoning,"Species involved: Buzzard x 1; raven x 2. Tested positive for: Carbofuran, diazinon.",TORFAEN,July,2011
Shooting,Species involved: Kestrel x 1.,NORTH YORKSHIRE,June,2011
Poisoning,Species targeted: Birds of prey. Species involved: Carrion crow x 1. Tested positive for: Alphachloralose.,PERTH AND KINROSS,April,2011
Poisoning,"Species involved: Red kite x 2. Tested positive for: Benfuracarb, carbofuran.",CAMBRIDGESHIRE,September,2011
Shooting,Species involved: Buzzard x 1.,SOUTH LANARKSHIRE,December,2011
Shooting,Species involved: Peregrine falcon x 1.,ABERDEENSHIRE,August,2011
PersecutionOther,Species targeted: Peregrine falcon.,FIFE,May,2011
Poisoning,Species involved: Red kite x 1. Tested positive for: Carbofuran.,EAST AYRSHIRE,August,2011
Poisoning,"Species involved: Buzzard x 1. Tested positive for: Aldicarb, carbofuran.",HIGHLAND,April,2011
Poisoning,"Species involved: Goshawk x 2, Buzzard x 1. Tested positive for: Benfuracarb, carbofuran.",DEVON,March,2011
Poisoning,Species involved: Golden eagle x 1. Tested positive for: Carbofuran.,ABERDEENSHIRE,February,2011
Poisoning,Species involved: Buzzard x 2; hedgehog x 1. Tested positive for: Aldicarb.,STAFFORDSHIRE,October,2011
PersecutionOther,Species targeted: Birds of prey.,MERSEYSIDE,December,2011
Poisoning,Species involved: Buzzard x 2; poison bait (pheasant) x 2. Tested positive for: Alphchloralose.,PERTH AND KINROSS,March,2011
Illegal Trapping (Other),Species targeted: Birds of prey.,SOUTH LANARKSHIRE,March,2011
Poisoning,"Species involved: Goshawk x 2. Tested positive for: Bendiocarb, carbofuran.",DEVON,March,2011
Poisoning,Species targeted: Birds of prey. Species involved: Raven x 1. Tested positive for: Carbofuran.,DUMFRIES AND GALLOWAY,May,2011
Poisoning,Species involved: Buzzard x 1; poison bait (rabbit) x 1. Tested positive for: Carbofuran.,ABERDEENSHIRE,May,2011
Shooting,Species involved: Red kite x 1.,BERKSHIRE,June,2011
Poisoning,Species targeted: Birds of prey. Species involved: Poison bait (pigeon) x 2. Tested positive for: Bendiocarb.,MONMOUTHSHIRE,July,2011
Poisoning,"Species involved: Buzzard x 1. Tested positive for: Alphachloralose, carbofuran, isofenphos.",NORTH YORKSHIRE,September,2011
Illegal Pole/Spring Trapping,Species targeted: Birds of prey.,DORSET,May,2011
Illegal Trapping (Other),Species involved: Buzzard x 1.,PERTH AND KINROSS,February,2011
Shooting,Species involved: Barn owl x 1.,SHROPSHIRE,March,2011
Poisoning,Species involved: Red kite x 1. Tested positive for: Bendiocarb.,CUMBRIA,January,2011
Poisoning,Species involved: Red kite x 1. Tested positive for: Carbofuran.,HERTFORDSHIRE,December,2011
Illegal Trapping (Other),Species involved: Buzzard x 1.,ANGUS,February,2011
Poisoning,Species targeted: Birds of prey. Species involved: Carrion crow x 1. Tested positive for: Alphachloralose.,PERTH AND KINROSS,April,2011
Poisoning,Species targeted: Birds of prey. Species involved: Poison bait (grouse) x 1. Tested positive for: Aldicarb,HIGHLAND,August,2011
Poisoning,Species involved: Red kite x 1. Tested positive for: Alphachloralose.,HIGHLAND,February,2011
Poisoning,Species involved: Red kite x 1. Tested positive for: Aldicarb.,CAMBRIDGESHIRE,June,2011
Shooting,Species involved: Buzzard x 1,ABERDEENSHIRE,December,2011
Shooting,Species involved: Goshawk x 1.,WILTSHIRE,November,2011
Poisoning,Species involved: Red kite x 1. Tested positive for: Carbofuran.,DOWN,April,2011
PersecutionOther,Species targeted: Birds of prey.,POWYS,July,2011
Poisoning,Species targeted: Peregrine falcon. Species involved: Poison bait (chicken) x 1. Tested positive for: Bendiocarb.,WEST YORKSHIRE,March,2011
Shooting,Species involved: Buzzard x 1.,NORTH YORKSHIRE,October,2011
Illegal Pole/Spring Trapping,Species targeted: Kestrel.,NOTTINGHAMSHIRE,June,2011
Shooting,Species involved: Eagle owl x 1.,GLOUCESTERSHIRE,February,2011
Poisoning,Species involved: Buzzard x 1. Tested positive for: Carbofuran.,ANTRIM,March,2011
Shooting,Species involved: Buzzard x 1.,ARGYLL AND BUTE,October,2010
Poisoning,"Species involved: Peregrine falcon x 2, poison bait (pigeon) x 1. Tested positive for: Carbofuran.",TORFAEN,July,2010
Poisoning,Species involved: Red kite x 1. Tested positive for: Alphachloralose.,PERTH AND KINROSS,December,2010
Shooting,Species involved: Buzzard x 1.,NORTH YORKSHIRE,September,2010
Illegal Pole/Spring Trapping,Species targeted: Birds of prey.,LEICESTERSHIRE,August,2010
Poisoning,Species involved: Red kite x 1; poison bait (grouse) x 1. Tested positive for: Carbofuran.,HIGHLAND,May,2010
Poisoning,Species involved: Golden eagle x 1. Tested positive for: Aldicarb.,HIGHLAND,May,2010
Illegal Trapping (Other),Species targeted: Birds of prey.,DERBYSHIRE,November,2010
Poisoning,Species involved: Buzzard x 1. Tested positive for: Carbofuran.,SCOTTISH BORDERS,November,2010
Poisoning,Species involved: White-tailed eagle x 1. Tested positive for: Carbofuran.,HIGHLAND,June,2010
PersecutionOther,Species involved: Sparrowhawk x 1.,HIGHLAND,April,2010
Poisoning,Species involved: Buzzard x 2. Tested positive for: Alphachloralose.,LANCASHIRE,March,2010
Shooting,Species involved: Osprey x 1.,HIGHLAND,September,2010
Poisoning,Species targeted: Buzzard x 1. Species involved: Poison bait (pigeon) x 1. Tested positive for: Carbofuran.,ANGUS,October,2010
PersecutionOther,Species targeted: Birds of prey. Possession of: Alphachloralose.,NORTHUMBERLAND,March,2010
Poisoning,Species involved: Peregrine falcon x 1. Tested positive for: Diazinon.,GLOUCESTERSHIRE,June,2010
Illegal Pole/Spring Trapping,Species involved: Goshawk x 1.,HIGHLAND,June,2010
Shooting,Species involved: Barn owl x 1.,CAMBRIDGESHIRE,February,2010
Poisoning,"Species involved: Goshawk x 1. Tested positive for: Benfuracarb, carbofuran, carbosulfan.",SWANSEA CITY,September,2010
Shooting,Species involved: Sparrowhawk x 1.,WEST MIDLANDS,March,2010
Poisoning,Species involved: Buzzard x 2; poison bait (meat) x 1. Tested positive for: Carbofuran.,ARMAGH,April,2010
Poisoning,"Species involved: Golden eagle x 1, raven x 1. Tested positive for: Carbofuran.",TYRONE,November,2010
Shooting,Species involved: Short-eared owl x 1.,SOUTH LANARKSHIRE,October,2010
Illegal Trapping (Other),Species targeted: Goshawk.,DERBYSHIRE,May,2010
Shooting,Species involved: Red kite x 1.,HERTFORDSHIRE,June,2010
Poisoning,Species targeted: Birds of prey. Species involved: Poison bait (pigeon) x 1. Tested positive for: Carbofuran.,ANTRIM,March,2010
Poisoning,Species involved: Buzzard x 2. Tested positive for: Carbofuran.,DERBYSHIRE,February,2010
PersecutionOther,Species involved: Hen harrier.,EAST AYRSHIRE,June,2010
Poisoning,Species involved: Goshawk x 1. Tested positive for: Carbofuran.,NORTH YORKSHIRE,March,2010
Poisoning,"Species involved: Buzzard x 1, poison bait (pheasant) x 1. Tested positive for: Carbofuran.",SOUTH LANARKSHIRE,November,2010
Shooting,Species involved: Peregrine falcon x 1.,CAMBRIDGESHIRE,February,2010
Poisoning,Species involved: Red kite x 2. Tested positive for: Alphachloralose.,NORTHUMBERLAND,February,2010
Poisoning,"Species involved: Buzzard x 2, poison bait (rabbit) x 1. Tested positive for: Carbofuran.",HIGHLAND,October,2010
PersecutionOther,Species targeted: Birds of prey.,DERBYSHIRE,May,2010
Shooting,Species involved: Buzzard x 1.,HERTFORDSHIRE,February,2010
Poisoning,Species involved: Golden eagle x 1. Tested positive for: Carbofuran.,HIGHLAND,May,2010
Shooting,Species involved: Barn owl x 1.,STAFFORDSHIRE,July,2010
Poisoning,Species involved: Peregrine falcon x 2. 1 bird tested positive for: Carbofuran. 1 bird tested positive for: Alphachloralose.,LONDONDERRY,July,2010
Shooting,Species involved: Buzzard x 1.,CORNWALL,March,2010
Poisoning,Species involved: Red kite x 1. Tested positive for: Carbofuran.,NORTHUMBERLAND,June,2010
Shooting,Species involved: Buzzard x 1.,DORSET,February,2010
Poisoning,Species involved: Red kite x 1. Tested positive for: Mevinphos/phosdrin.,LINCOLNSHIRE,March,2010
Poisoning,Species involved: Red kite x 1. Tested positive for: Bendiocarb.,NORTHAMPTONSHIRE,March,2010
Shooting,Species involved: Osprey x 1.,LINCOLNSHIRE,October,2010
PersecutionOther,Species targeted: Birds of prey. Possession of: Carbofuran.,HIGHLAND,May,2010
Poisoning,Species involved: Red kite x 1. Tested positive for: Alphachloralose.,NORTH YORKSHIRE,March,2010
Illegal Pole/Spring Trapping,Species involved: Owl species x 1.,WEST YORKSHIRE,June,2010
Illegal Pole/Spring Trapping,Species involved: Hen harrier x 1.,HIGHLAND,May,2010
Poisoning,Species targeted: Birds of prey. Species involved: Poison bait (rabbit) x 1. Tested positive for: Aldicarb.,HIGHLAND,September,2010
Shooting,Species involved: Peregrine falcon x 1.,HEREFORDSHIRE,January,2010
Poisoning,Species targeted: Birds of prey. Species involved: Poison bait (grouse) x 1. Tested positive for: Mevinphos/phosdrin.,STIRLING,July,2010
Nest Destruction,Species involved: Peregrine falcon nest.,GLOUCESTERSHIRE,May,2010
Poisoning,Species involved: Peregrine falcon x 1. Tested positive for: Aldicarb.,WEST LOTHIAN,April,2010
Poisoning,Species involved: Buzzard x 1; poison bait (rabbit) x 2. Tested positive for: Alphachloralose.,ARMAGH,September,2010
Shooting,Species involved: Sparrowhawk x 1.,COUNTY DURHAM,March,2010
Poisoning,Species targeted: Birds of prey. Species involved: Raven x 2. Tested positive for: Diazinon.,SHROPSHIRE,March,2010
Poisoning,Species involved: Red kite x 1. Tested positive for: Bendiocarb.,NORTHAMPTONSHIRE,March,2010
Poisoning,Species targeted: Birds of prey. Species involved: Dog x 1. Tested positive for: Aldicarb.,NORTH YORKSHIRE,August,2010
Illegal Pole/Spring Trapping,Species targeted: Birds of prey.,HIGHLAND,September,2010
Poisoning,Species involved: Buzzard x 1. Tested positive for: Carbofuran.,NORFOLK,April,2010
Poisoning,Species involved: Sparrowhawk x 1; poison bait (grouse) x 1. Tested positive for: Carbofuran.,HIGHLAND,May,2010
Illegal Pole/Spring Trapping,Species targeted: Birds of prey.,HIGHLAND,June,2010
Illegal Pole/Spring Trapping,Species involved: Buzzard x 1.,SHROPSHIRE,August,2010
Shooting,Species involved: Little owl x 1.,EAST RIDING OF YORKSHIRE,December,2010
Poisoning,Species targeted: Birds of prey. Species involved: Poison bait (pheasant) x 1. Tested positive for: Aldicarb.,DENBIGHSHIRE,August,2010
Poisoning,Species involved: Buzzard x 1. Tested positive for: Carbofuran.,NORTH YORKSHIRE,October,2010
Shooting,Species involved: Peregrine falcon x 1.,DOWN,October,2010
Nest Destruction,Species involved: Peregrine falcon nest.,DUMFRIES AND GALLOWAY,May,2010
Poisoning,Species involved: Buzzard x 2; poison bait (rabbit) x 1. Tested positive for: Carbofuran.,HIGHLAND,September,2010
Shooting,Species involved: Goshawk x 1.,NORTH YORKSHIRE,March,2010
Poisoning,Species involved: Buzzard x 1. Tested positive for: Alphachloralose.,ANGUS,September,2010
Illegal Pole/Spring Trapping,Species targeted: Birds of prey.,HIGHLAND,June,2010
Shooting,Species involved: Buzzard x 1.,SURREY,August,2010
Poisoning,Species involved: Buzzard x 1. Tested positive for: Carbofuran.,SOMERSET & AVON,October,2010
Poisoning,Species targeted: Birds of prey. Species involved: Dog x 1. Tested positive for: Aldicarb.,NORFOLK,January,2010
Poisoning,Species targeted: Birds of prey. Species involved: Poison bait (pigeon) x 1. Tested positive for: Carbofuran.,ANGUS,October,2010
Poisoning,Species involved: Red kite x 1. Tested positive for: Alphachloralose.,NORTH YORKSHIRE,April,2010
Illegal Trapping (Other),"Species targeted: Sparrowhawk, peregrine falcon.",STIRLING,May,2010
Poisoning,Species involved: Buzzard x 2; poison bait (rabbit) x 2. Tested positive for: Alphachloralose.,NORTH YORKSHIRE,February,2010
Shooting,Species involved: Peregrine falcon x 3.,LANCASHIRE,June,2010
PersecutionOther,Species involved: Red kite x 1.,HIGHLAND,April,2010
Shooting,Species involved: Red kite x 1.,CUMBRIA,August,2010
Poisoning,Species involved: Buzzard x 2. Tested positive for: Carbofuran.,ANTRIM,April,2010
Poisoning,Species involved: Buzzard x 4; poison bait (pheasant) x 1; poison bait (hare) x 1. Tested positive for: Carbofuran.,DERBYSHIRE,April,2010
Illegal Pole/Spring Trapping,Species involved: Red kite x 1.,HIGHLAND,June,2010
Shooting,Species involved: Peregrine falcon x 1.,CUMBRIA,September,2010
Poisoning,Species involved: Golden eagle x 1. Tested positive for: Carbofuran.,HIGHLAND,June,2010
Illegal Trapping (Other),Species targeted: Birds of prey.,DERBYSHIRE,May,2010
Poisoning,"Species involved: Buzzard x 2. Tested positive for: Carbofuran, isofenphos.",PERTH AND KINROSS,October,2010
Shooting,Species involved: Buzzard x 1.,LEICESTERSHIRE,January,2010
Poisoning,Species involved: Red kite x 2. Tested positive for: Carbofuran.,NORTH YORKSHIRE,June,2010
Poisoning,"Species involved: Buzzard x 1. Tested positive for: Carbofuran, carbosulfan.",DUMFRIES AND GALLOWAY,March,2010
Illegal Trapping (Other),Species involved: Buzzard x 1.,ABERDEENSHIRE,September,2010
Poisoning,Species involved: Golden eagle x 1. Tested positive for: Carbofuran.,HIGHLAND,May,2010
Poisoning,"Species targeted: Birds of prey. Species involved: Poison bait (meat) x 1. Tested positive for: Carbofuran, carbosulfan.",HIGHLAND,May,2010
Poisoning,Species involved: Red kite x 1. Tested positive for: Aldicarb.,HIGHLAND,May,2010
PersecutionOther,"Species targeted: Birds of prey. Possession of: Carbofuran, carbosulfan.",HIGHLAND,May,2010
Poisoning,Species involved: Peregrine falcon x 1. Tested positive for: Aldicarb.,WEST LOTHIAN,May,2010
Illegal Trapping (Other),Species targeted: Sparrowhawk.,CLEVELAND,April,2010
Poisoning,Species involved: Red kite x 1. Tested positive for: Carbofuran.,PERTH AND KINROSS,July,2010
Nest Destruction,Species involved: Peregrine falcon x 3 (nest).,STAFFORDSHIRE,May,2010
Illegal Pole/Spring Trapping,Species targeted: Birds of prey.,HIGHLAND,September,2010
Illegal Trapping (Other),Species targeted: Birds of prey.,ANGUS,March,2010
Illegal Trapping (Other),Species involved: Sparrowhawk x 1.,DERBYSHIRE,April,2010
Poisoning,Species targeted: Birds of prey. Species involved: poison bait (chick) x 13. Tested positive for: Mevinphos/phosdrin.,NORTH YORKSHIRE,May,2010
Poisoning,Species involved: Peregrine falcon x 2. Tested positive for: Diazinon.,SHROPSHIRE,May,2010
Shooting,Species involved: Peregrine falcon x 1.,EAST SUSSEX,April,2010
Poisoning,"Species involved: Red kite x 1. Tested positive for: Carbofuran, carbosulfan.",DUMFRIES AND GALLOWAY,January,2010
Illegal Trapping (Other),Species involved: Tawny owl x 1.,ANGUS,August,2010
Poisoning,Species involved: Red kite x 1. Tested positive for: Carbofuran.,ANGUS,May,2010
Poisoning,Species involved: Red kite x 1. Tested positive for: Fenthion.,CEREDIGION,March,2010
Illegal Pole/Spring Trapping,Species targeted: Birds of prey.,HIGHLAND,June,2010
Shooting,Species involved: Buzzard x 1.,HERTFORDSHIRE,February,2010
Poisoning,Species involved: Buzzard x 2. Tested positive for: Carbofuran.,HIGHLAND,March,2010
Illegal Pole/Spring Trapping,Species targeted: Birds of prey.,HIGHLAND,September,2010
Poisoning,Species involved: Red kite x 1. Tested positive for: Aldicarb.,HIGHLAND,May,2010
Poisoning,"Species targeted: Birds of prey. Species involved: Carrion crow x 1. Tested positive for: Carbofuran, carbosulfan.",DUMFRIES AND GALLOWAY,April,2010
Poisoning,Species involved: Red kite x 1; buzzard x 1. Tested positive for: Carbofuran.,CEREDIGION,April,2010
Poisoning,Species involved: Red kite x 1. Tested positive for: Carbofuran.,COUNTY DURHAM,April,2010
Shooting,Species involved: Buzzard x 1.,COUNTY DURHAM,April,2010
Illegal Trapping (Other),Species involved: Goshawk x 1.,ANGUS,September,2010
Shooting,Species involved: Osprey x 1.,WEST SUSSEX,September,2010
Shooting,Species involved: Buzzard x 1.,DERBYSHIRE,December,2010
Shooting,Species involved: Sparrowhawk x 1.,NORTHUMBERLAND,March,2009
Poisoning,Species targeted: Birds of prey. Species involved: Dog x 3. Tested positive for: Strychnine.,SOUTH YORKSHIRE,September,2009
Poisoning,Species targeted: Birds of prey. Species involved: Poison bait (pigeon) x 1. Tested positive for: Aldicarb.,DEVON,February,2009
Poisoning,Species involved: Buzzard x 1. Tested positive for: Carbofuran.,ANGUS,March,2009
Shooting,Species involved: Barn owl x 1.,CORNWALL,October,2009
Poisoning,Species targeted: Birds of prey. Species involved: Raven x 1. Tested positive for: Carbofuran,HIGHLAND,February,2009
Poisoning,Species targeted: Birds of prey. Species involved: Raven x 1. Tested positive for: Alphachloralose.,DOWN,April,2009
Shooting,Species involved: Barn owl x 1.,BEDFORDSHIRE,January,2009
Poisoning,Species targeted: Birds of prey. Species involved: Raven x 1. Tested positive for: Carbofuran,SOUTH LANARKSHIRE,April,2009
Poisoning,Species involved: Buzzard x 1. Tested positive for: Alphachloralose.,CAMBRIDGESHIRE,March,2009
Poisoning,Species involved: Red kite x 1. Tested positive for: Alphachloralose.,ANGUS,June,2009
Shooting,Species involved: Buzzard x 1.,HEREFORDSHIRE,September,2009
Shooting,Species involved: Buzzard x 1.,CUMBRIA,August,2009
